id,schema,userId,featureId,startTime,endTime,totalTime,downloadSpeed,uploadSpeed,appType
69bcb71b2f4b2f6cf9d88375,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:54:47.941000+00:00,2026-03-20T02:55:17.984000+00:00,30,3013,912,Kotlin
69bcb72f2f4b2f6cf9d88377,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:55:39.574000+00:00,2026-03-20T02:55:40.520000+00:00,0,23290,18713,Kotlin
69bcb7362f4b2f6cf9d8837a,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T02:55:47.861000+00:00,2026-03-20T02:55:48.221000+00:00,0,23290,18713,Kotlin
69bcb7682f4b2f6cf9d88382,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:56:37.303000+00:00,2026-03-20T02:56:37.601000+00:00,0,23290,18713,Kotlin
69bcb7702f4b2f6cf9d88384,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:56:45.054000+00:00,2026-03-20T02:56:45.635000+00:00,0,23290,18713,Kotlin
69bcb778094700f7b22a8a8d,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:56:56.765000+00:00,2026-03-20T02:56:57.111000+00:00,0,30000,5792,Kotlin
69bcb77f094700f7b22a8a8f,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:57:03.362000+00:00,2026-03-20T02:57:03.752000+00:00,0,30000,5792,Kotlin
69bcb7bf094700f7b22a8a92,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T02:58:07.459000+00:00,2026-03-20T02:58:07.862000+00:00,0,30000,5792,Kotlin
69bcb7c0094700f7b22a8a94,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T02:58:08.717000+00:00,2026-03-20T02:58:09.102000+00:00,0,30000,5792,Kotlin
69bcb8082f4b2f6cf9d88387,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T02:59:17.426000+00:00,2026-03-20T02:59:18.020000+00:00,0,23606,12701,Kotlin
69bcb882094700f7b22a8a98,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:01:22.903000+00:00,2026-03-20T03:01:23.278000+00:00,0,30000,5792,Kotlin
69bcb8862f4b2f6cf9d8838b,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T03:01:23.408000+00:00,2026-03-20T03:01:23.743000+00:00,0,23290,18713,Kotlin
69bcb88b2f4b2f6cf9d8838d,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:01:28.036000+00:00,2026-03-20T03:01:28.379000+00:00,0,23290,18713,Kotlin
69bcb8c1094700f7b22a8a9a,1,69bad2c678e8686ceac1f93d,69bc9f4557adce41b32f5007,2026-03-20T03:02:24.352000+00:00,2026-03-20T03:02:25.563000+00:00,1,30000,5792,Kotlin
69bcb8c32f4b2f6cf9d8838f,1,69bad2c678e8686ceac1f93d,69bc9f4557adce41b32f5007,2026-03-20T03:02:24.607000+00:00,2026-03-20T03:02:25.282000+00:00,0,23290,18713,Kotlin
69bcb900094700f7b22a8a9c,1,69bad2c678e8686ceac1f93d,69bc9f4257adce41b32f4fef,2026-03-20T03:03:28.737000+00:00,2026-03-20T03:03:29.288000+00:00,0,30000,5792,Kotlin
69bcb904094700f7b22a8a9d,1,69bad2c678e8686ceac1f93d,69bc9f4257adce41b32f4fef,2026-03-20T03:03:31.503000+00:00,2026-03-20T03:03:31.995000+00:00,0,30000,5792,Kotlin
69bcb92f2f4b2f6cf9d88391,1,69bad2c678e8686ceac1f93d,69bc9f4257adce41b32f4fef,2026-03-20T03:04:12.037000+00:00,2026-03-20T03:04:12.826000+00:00,0,23290,18713,Kotlin
69bcb9332f4b2f6cf9d88392,1,69bad2c678e8686ceac1f93d,69bc9f4257adce41b32f4fef,2026-03-20T03:04:16.495000+00:00,2026-03-20T03:04:16.874000+00:00,0,23606,12701,Kotlin
69bcb9342f4b2f6cf9d88393,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:04:17.838000+00:00,2026-03-20T03:04:18.125000+00:00,0,23606,12701,Kotlin
69bcb933094700f7b22a8a9f,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:04:18.543000+00:00,2026-03-20T03:04:19.972000+00:00,1,30000,5792,Kotlin
69bcb9372f4b2f6cf9d88395,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:04:20.293000+00:00,2026-03-20T03:04:20.719000+00:00,0,23606,12701,Kotlin
69bcb93a2f4b2f6cf9d88397,1,69bad2c678e8686ceac1f93d,69bc9f4557adce41b32f5007,2026-03-20T03:04:21.382000+00:00,2026-03-20T03:04:23.683000+00:00,2,23606,12701,Kotlin
69bcb93c2f4b2f6cf9d88399,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:04:25.273000+00:00,2026-03-20T03:04:26.041000+00:00,0,23606,12701,Kotlin
69bcb96b094700f7b22a8aa1,1,69bad2c678e8686ceac1f93d,69bc9f4057adce41b32f4fe4,2026-03-20T03:05:14.972000+00:00,2026-03-20T03:05:15.540000+00:00,0,30000,5792,Kotlin
69bcb98d094700f7b22a8aa4,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:05:49.006000+00:00,2026-03-20T03:05:49.395000+00:00,0,30000,5792,Kotlin
69bcb98e094700f7b22a8aa5,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:05:50.597000+00:00,2026-03-20T03:05:50.971000+00:00,0,30000,5792,Kotlin
69bcb999094700f7b22a8aa8,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:06:01.676000+00:00,2026-03-20T03:06:02.006000+00:00,0,30000,5792,Kotlin
69bcb9c02f4b2f6cf9d8839a,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T03:06:37.478000+00:00,2026-03-20T03:06:37.850000+00:00,0,23606,12701,Kotlin
69bcb9c72f4b2f6cf9d8839d,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:06:43.327000+00:00,2026-03-20T03:06:44.281000+00:00,0,23606,12701,Kotlin
69bcb9c82f4b2f6cf9d8839f,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T03:06:45.466000+00:00,2026-03-20T03:06:45.746000+00:00,0,23606,12701,Kotlin
69bcb9dc094700f7b22a8aab,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:07:08.149000+00:00,2026-03-20T03:07:08.521000+00:00,0,30000,5792,Kotlin
69bcb9dd094700f7b22a8aac,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:07:09.816000+00:00,2026-03-20T03:07:10.179000+00:00,0,30000,5792,Kotlin
69bcb9fe094700f7b22a8aaf,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:07:42.891000+00:00,2026-03-20T03:07:43.303000+00:00,0,30000,5792,Kotlin
69bcba29094700f7b22a8ab5,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:08:25.272000+00:00,2026-03-20T03:08:26.271000+00:00,0,30000,5792,Kotlin
69bcba29094700f7b22a8ab6,1,69bad2c678e8686ceac1f93d,69bc9f4157adce41b32f4fe8,2026-03-20T03:08:24.628000+00:00,2026-03-20T03:08:25.197000+00:00,0,30000,5792,Kotlin
69bcba39094700f7b22a8ab9,1,69bad2c678e8686ceac1f93d,69bc9f4157adce41b32f4fe9,2026-03-20T03:08:41.330000+00:00,2026-03-20T03:08:41.879000+00:00,0,30000,5792,Kotlin
69bcba41094700f7b22a8abb,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:08:49.172000+00:00,2026-03-20T03:08:49.530000+00:00,0,30000,5792,Kotlin
69bcba442f4b2f6cf9d883a2,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:08:49.254000+00:00,2026-03-20T03:08:49.604000+00:00,0,23290,18713,Kotlin
69bcba4a2f4b2f6cf9d883a5,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:08:55.097000+00:00,2026-03-20T03:08:55.367000+00:00,0,23290,18713,Kotlin
69bcba6a094700f7b22a8abd,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:09:30.213000+00:00,2026-03-20T03:09:30.611000+00:00,0,30000,5792,Kotlin
69bcba6c094700f7b22a8abf,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T03:09:32.710000+00:00,2026-03-20T03:09:33.068000+00:00,0,30000,5792,Kotlin
69bcba70094700f7b22a8ac1,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:09:36.225000+00:00,2026-03-20T03:09:36.572000+00:00,0,30000,5792,Kotlin
69bcba772f4b2f6cf9d883a8,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:09:40.658000+00:00,2026-03-20T03:09:41.169000+00:00,0,23606,12701,Kotlin
69bcba77094700f7b22a8ac3,1,69bad2c678e8686ceac1f93d,69bc9f4557adce41b32f5007,2026-03-20T03:09:43.191000+00:00,2026-03-20T03:09:43.601000+00:00,0,30000,5792,Kotlin
69bcba79094700f7b22a8ac5,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:09:45.880000+00:00,2026-03-20T03:09:46.309000+00:00,0,30000,5792,Kotlin
69bcbab4094700f7b22a8aca,1,69bad2c678e8686ceac1f93d,69bc9f4157adce41b32f4fed,2026-03-20T03:10:44.995000+00:00,2026-03-20T03:10:45.447000+00:00,0,30000,5792,Kotlin
69bcbab5094700f7b22a8acc,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:10:45.513000+00:00,2026-03-20T03:10:45.992000+00:00,0,30000,5792,Kotlin
69bcbacc094700f7b22a8ace,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:11:08.442000+00:00,2026-03-20T03:11:08.879000+00:00,0,30000,5792,Kotlin
69bcbacd094700f7b22a8ad0,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T03:11:09.845000+00:00,2026-03-20T03:11:10.261000+00:00,0,30000,5792,Kotlin
69bcbae02f4b2f6cf9d883ab,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:11:25.517000+00:00,2026-03-20T03:11:25.817000+00:00,0,23290,18713,Kotlin
69bcbae32f4b2f6cf9d883ad,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T03:11:28.255000+00:00,2026-03-20T03:11:28.795000+00:00,0,23290,18713,Kotlin
69bcbaee2f4b2f6cf9d883b1,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T03:11:39.163000+00:00,2026-03-20T03:11:39.494000+00:00,0,23606,12701,Kotlin
69bcbafb2f4b2f6cf9d883b4,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T03:11:52.118000+00:00,2026-03-20T03:11:52.461000+00:00,0,23290,18713,Kotlin
69bcbb2e094700f7b22a8ae6,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:12:46.118000+00:00,2026-03-20T03:12:46.440000+00:00,0,30000,5792,Kotlin
69bcbb2e094700f7b22a8ae7,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:12:46.501000+00:00,2026-03-20T03:12:46.789000+00:00,0,30000,5792,Kotlin
69bcbb342f4b2f6cf9d883b8,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:12:48.827000+00:00,2026-03-20T03:12:49.367000+00:00,0,23290,18713,Kotlin
69bcbb342f4b2f6cf9d883b9,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:12:49.570000+00:00,2026-03-20T03:12:50.014000+00:00,0,23290,18713,Kotlin
69bcbb48094700f7b22a8ae8,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:13:12.869000+00:00,2026-03-20T03:13:13.245000+00:00,0,30000,5792,Kotlin
69bcbb55094700f7b22a8ae9,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:13:25.077000+00:00,2026-03-20T03:13:25.378000+00:00,0,30000,5792,Kotlin
69bcbb93094700f7b22a8aea,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5003,2026-03-20T03:14:25.850000+00:00,2026-03-20T03:14:27.470000+00:00,1,30000,5792,Kotlin
69bcbc092f4b2f6cf9d883bf,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T03:16:22.021000+00:00,2026-03-20T03:16:22.338000+00:00,0,23290,18713,Kotlin
69bcc8e7094700f7b22a8aec,1,69bcb387094700f7b22a8a69,69bc9f4357adce41b32f4ffc,2026-03-20T04:11:18.556000+00:00,2026-03-20T04:11:19.815000+00:00,1,30000,5792,Kotlin
69bcc8e7094700f7b22a8aed,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T04:11:19.702000+00:00,2026-03-20T04:11:20.082000+00:00,0,30000,5792,Kotlin
69bcc8e8094700f7b22a8aee,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T04:11:20.078000+00:00,2026-03-20T04:11:20.361000+00:00,0,30000,5792,Kotlin
69bcc8e8094700f7b22a8aef,1,69bcb387094700f7b22a8a69,69bc9f4357adce41b32f4ffc,2026-03-20T04:11:18.508000+00:00,2026-03-20T04:11:20.145000+00:00,1,30000,5792,Kotlin
69bcc8e8094700f7b22a8af0,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f4ffd,2026-03-20T04:11:19.700000+00:00,2026-03-20T04:11:20.845000+00:00,1,30000,5792,Kotlin
69bcc8ed094700f7b22a8af1,1,69bcb387094700f7b22a8a69,69bc9f4357adce41b32f4ffc,2026-03-20T04:11:25.444000+00:00,2026-03-20T04:11:25.828000+00:00,0,30000,5792,Kotlin
69bcc8ee094700f7b22a8af3,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T04:11:26.702000+00:00,2026-03-20T04:11:26.989000+00:00,0,30000,5792,Kotlin
69bcc8ee094700f7b22a8af4,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f4ffd,2026-03-20T04:11:26.698000+00:00,2026-03-20T04:11:27.125000+00:00,0,30000,5792,Kotlin
69bcc8ee094700f7b22a8af5,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T04:11:27.088000+00:00,2026-03-20T04:11:27.369000+00:00,0,30000,5792,Kotlin
69bcd7d5094700f7b22a8af6,1,69bcb387094700f7b22a8a69,69bc9f4357adce41b32f4ffc,2026-03-20T05:15:00.946000+00:00,2026-03-20T05:15:02.029000+00:00,1,30000,5792,Kotlin
69bcd7d5094700f7b22a8af7,1,69bcb387094700f7b22a8a69,69bc9f4357adce41b32f4ffc,2026-03-20T05:15:00.988000+00:00,2026-03-20T05:15:02.024000+00:00,1,30000,5792,Kotlin
69bcd7d6094700f7b22a8af9,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T05:15:03.056000+00:00,2026-03-20T05:15:03.342000+00:00,0,30000,5792,Kotlin
69bcd7d6094700f7b22a8afa,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f4ffd,2026-03-20T05:15:03.053000+00:00,2026-03-20T05:15:03.449000+00:00,0,30000,5792,Kotlin
69bcd7d7094700f7b22a8afb,1,69bcb387094700f7b22a8a69,69bc9f4457adce41b32f5001,2026-03-20T05:15:03.430000+00:00,2026-03-20T05:15:03.672000+00:00,0,30000,5792,Kotlin
